original,Headline,date,Price movement 
Top Glove says 4Q net profit up at RM102m from RM94m a year earlier,Top Glove says 4Q net profit up at RM102m from RM94m a year earlier,11/10/2018,Up
Top Glove shareholders remove Adventa Capital director from board,Top Glove shareholders remove Adventa Capital director from board,11/10/2018,Up
"KLCI to track global losses, hurdle at 1,750","KLCI to track global losses, hurdle at 1,750",11/10/2018,Up
"LPI Capital, Top Glove, Red Ideas, MCE, MAHB, Gamuda, MMC Corp, CNI Holdings and mTouche Technology","LPI Capital, Top Glove, Red Ideas, MCE, MAHB, Gamuda, MMC Corp, CNI Holdings and mTouche Technology",10/10/2018,Up
Adventa director booted from Top Glove's board despite defending innocence,Adventa director booted from Top Glove's board despite defending innocence,10/10/2018,Up
"KLCI off to lacklustre start, tracks muted regional markets","KLCI off to lacklustre start, tracks muted regional markets",09/10/2018,Up
"The Week Ahead: PD by-election, Mahathir, Top Glove EGM in the spotlight","The Week Ahead: PD by-election, Mahathir, Top Glove EGM in the spotlight",08/10/2018,Up
"KLCI pares loss, remains in red tracking regional markets","KLCI pares loss, remains in red tracking regional markets",08/10/2018,Up
"Top Glove founder opens hotel, grand ballroom at Mines 2","Top Glove founder opens hotel, grand ballroom at Mines 2",05/10/2018,Down
"KLCI stays negative, falls 0.43%","KLCI stays negative, falls 0.43%",05/10/2018,Down
KLCI falls 0.38% in tandem with regional retreat,KLCI falls 0.38% in tandem with regional retreat,05/10/2018,Down
"KLCI extends loss, tracks regional decline","KLCI extends loss, tracks regional decline",05/10/2018,Down
Robust sales volume growth expected for Hartalega,Robust sales volume growth expected for Hartalega,03/10/2018,Up
"KLCI tracks regional peers, ticks lower","KLCI tracks regional peers, ticks lower",03/10/2018,Up
Lead Story: Eyeing healthier margins in retail market,Lead Story: Eyeing healthier margins in retail market,01/10/2018,Up
"KLCI slips below 1,800 level as sellers outpace buyers","KLCI slips below 1,800 level as sellers outpace buyers",27/09/2018,Up
"KLCI edges lower, tracks mixed regional markets","KLCI edges lower, tracks mixed regional markets",27/09/2018,Up
"Bursa Malaysia announces new sectors, indices for Main Market","Bursa Malaysia announces new sectors, indices for Main Market",25/09/2018,Down
"KLCI gets off to muted start, stays firmly above 1,800-level","KLCI gets off to muted start, stays firmly above 1,800-level",24/09/2018,Up
CCM rises 5.1% after HLIB Research starts coverage,CCM rises 5.1% after HLIB Research starts coverage,21/09/2018,Down
"KLCI ticks up in early trade, gains seen capped","KLCI ticks up in early trade, gains seen capped",20/09/2018,Down
"KLCI up 0.53%, stays above 1,800-level","KLCI up 0.53%, stays above 1,800-level",19/09/2018,Up
"KLCI pares loss, attempts to claw back to 1,800-level","KLCI pares loss, attempts to claw back to 1,800-level",18/09/2018,Up
KLCI falls 0.57% as Trump slaps more tariffs on Chinese goods,KLCI falls 0.57% as Trump slaps more tariffs on Chinese goods,18/09/2018,Up
Better 4Q expected for Top Glove on stronger sales,Better 4Q expected for Top Glove on stronger sales,13/09/2018,Up
KLCI dips 0.39% as select blue chips drag,KLCI dips 0.39% as select blue chips drag,13/09/2018,Up
"KLCI slips as Public Bank, Tenaga weigh","KLCI slips as Public Bank, Tenaga weigh",13/09/2018,Up
KLCI dips 0.55% in line with regional pull back,KLCI dips 0.55% in line with regional pull back,12/09/2018,Down
"KLCI reverses gains, slips below 1,800-level","KLCI reverses gains, slips below 1,800-level",12/09/2018,Down
The road ahead for Supermax,The road ahead for Supermax,12/09/2018,Down
MySay: Slippery successes,MySay: Slippery successes,04/09/2018,Down
KLCI poised to close lower for fourth day,KLCI poised to close lower for fourth day,04/09/2018,Down
PM calls for more R&D into agricultural commodities,PM calls for more R&D into agricultural commodities,04/09/2018,Down
My Say: Slippery successes,My Say: Slippery successes,03/09/2018,Down
"Top Glove obtains Mareva injunction against Adventa Capital, Low Chin Guan, Wong Chin Toh, ACPL","Top Glove obtains Mareva injunction against Adventa Capital, Low Chin Guan, Wong Chin Toh, ACPL",29/08/2018,Down
Financially-distressed firms to be on MSWG’s radar,Financially-distressed firms to be on MSWG’s radar,28/08/2018,Up
Top Glove executive chairman Lim calls for EGM to remove director,Top Glove executive chairman Lim calls for EGM to remove director,28/08/2018,Up
"Daiman Development, Gamuda, Taliworks, Top Glove, Matrix Concept, Vertice, BIMB, IOI Properties, Utusan, WCT and Watta","Daiman Development, Gamuda, Taliworks, Top Glove, Matrix Concept, Vertice, BIMB, IOI Properties, Utusan, WCT and Watta",28/08/2018,Up
Top Glove chairman Lim calls for EGM to remove director,Top Glove chairman Lim calls for EGM to remove director,27/08/2018,Up
Financially distressed firms to be on MSWG's radar,Financially distressed firms to be on MSWG's radar,27/08/2018,Up
Supermax : Cause of factory fire unknown at this moment,Supermax : Cause of factory fire unknown at this moment,27/08/2018,Up
Adventa to vary terms of proposed right issue,Adventa to vary terms of proposed right issue,24/08/2018,Up
M’sia’s rubber glove market share to rise to 68% — Margma,M’sia’s rubber glove market share to rise to 68% — Margma,24/08/2018,Up
Innovation seen to allow Hartalega to sustain demand for its products,Innovation seen to allow Hartalega to sustain demand for its products,09/08/2018,Up
"KLCI rises 0.39%, inches closer to 1,800 mark","KLCI rises 0.39%, inches closer to 1,800 mark",08/08/2018,Up
KLCI retreats as select blue chips weigh,KLCI retreats as select blue chips weigh,06/08/2018,Down
"KLCI retreats as TM, select blue chips drag","KLCI retreats as TM, select blue chips drag",03/08/2018,Up
"KLCI pares loss, attempts to climb higher in line with region","KLCI pares loss, attempts to climb higher in line with region",01/08/2018,Down
Top Glove down 2.58% after failing in bid to freeze assets of Adventa Capital,Top Glove down 2.58% after failing in bid to freeze assets of Adventa Capital,31/07/2018,Up
"KLCI dips 0.17% as Maybank, Tenaga retreat","KLCI dips 0.17% as Maybank, Tenaga retreat",31/07/2018,Up
Top Glove fails in bid to freeze assets of Adventa Capital,Top Glove fails in bid to freeze assets of Adventa Capital,31/07/2018,Up
"KLCI seen opening lower, tracking global markets, support at 1,750","KLCI seen opening lower, tracking global markets, support at 1,750",31/07/2018,Up
"Top Glove, JAKS, Star Media, MBSB, Barakah Offshore, Handal Resources, Fima Corp, Datasonic, New Hoong Fatt, Rev Asia and Tadmax","Top Glove, JAKS, Star Media, MBSB, Barakah Offshore, Handal Resources, Fima Corp, Datasonic, New Hoong Fatt, Rev Asia and Tadmax",30/07/2018,Up
Court dismisses Top Glove’s application for mareva injunction against Adventa Capital and others,Court dismisses Top Glove’s application for mareva injunction against Adventa Capital and others,30/07/2018,Up
"Court dismisses Top Glove’s applications to restrain Adventa Capital, Aspion directors from disposing of their assets in Malaysia","Court dismisses Top Glove’s applications to restrain Adventa Capital, Aspion directors from disposing of their assets in Malaysia",30/07/2018,Up
KLCI struggles to climb higher as sentiment stays tepid,KLCI struggles to climb higher as sentiment stays tepid,30/07/2018,Up
"KLCI drifts lower in line with region, key blue chips weigh","KLCI drifts lower in line with region, key blue chips weigh",30/07/2018,Up
"KLCI down marginal 0.22%, hovers above 1,760-level","KLCI down marginal 0.22%, hovers above 1,760-level",27/07/2018,Up
"KLCI takes a breather, stays unperturbed by Khazanah offers to resign","KLCI takes a breather, stays unperturbed by Khazanah offers to resign",26/07/2018,Down
Glove players seen to expand capacity gradually,Glove players seen to expand capacity gradually,25/07/2018,Down
Investors unnerved by Top Glove’s lawsuit,Investors unnerved by Top Glove’s lawsuit,24/07/2018,Down
The Week Ahead: Jho Low’s reported arrest and MH370 report,The Week Ahead: Jho Low’s reported arrest and MH370 report,23/07/2018,Up
KLCI retreats in line with subdued global markets,KLCI retreats in line with subdued global markets,20/07/2018,Up
Maybank IB issues eight call warrants at 100 million each,Maybank IB issues eight call warrants at 100 million each,19/07/2018,Down
Maybank IB issues 8 new call warrants with issue size of 100 mil each,Maybank IB issues 8 new call warrants with issue size of 100 mil each,18/07/2018,Down
Bright prospects seen for household product makers,Bright prospects seen for household product makers,17/07/2018,Up
Frankly Speaking: Top Glove’s costly acquisition,Frankly Speaking: Top Glove’s costly acquisition,16/07/2018,Up
KLCI pauses for a breather as Asian markets fall,KLCI pauses for a breather as Asian markets fall,16/07/2018,Up
Cover Story: The right stuff,Cover Story: The right stuff,16/07/2018,Up
Top Glove hopes more corporates will join the race to raise more funds,Top Glove hopes more corporates will join the race to raise more funds,16/07/2018,Up
"KLCI edges up, gains seen capped in line with slower regional markets","KLCI edges up, gains seen capped in line with slower regional markets",16/07/2018,Up
FRIDAY TAKEAWAY: Is Top Glove still worth buying?,FRIDAY TAKEAWAY: Is Top Glove still worth buying?,13/07/2018,Up
KLCI remains under pressure as spectre of trade war hangs over global markets,KLCI remains under pressure as spectre of trade war hangs over global markets,12/07/2018,Up
"Court sets aside injunction against Adventa Capital, its directors","Court sets aside injunction against Adventa Capital, its directors",12/07/2018,Up
"KLCI halts ascend, tracks regional markets on U.S.-China trade war woes","KLCI halts ascend, tracks regional markets on U.S.-China trade war woes",12/07/2018,Up
Court sets aside ex-parte injunction against Adventa Capital and its directors,Court sets aside ex-parte injunction against Adventa Capital and its directors,11/07/2018,Up
Hartalega among top 20 in Nikkei's Asia300 Power Performers,Hartalega among top 20 in Nikkei's Asia300 Power Performers,11/07/2018,Up
Top Glove shares fall by as much as 5.8% as company initiates arbitration against Adventa Capital,Top Glove shares fall by as much as 5.8% as company initiates arbitration against Adventa Capital,11/07/2018,Up
"KLCI pares loss, claws above 1,680-level","KLCI pares loss, claws above 1,680-level",11/07/2018,Up
Top Glove downgraded by Maybank as acquisition hits a snag,Top Glove downgraded by Maybank as acquisition hits a snag,11/07/2018,Up
Top Glove initiates arbitration against Adventa Capital in Singapore,Top Glove initiates arbitration against Adventa Capital in Singapore,11/07/2018,Up
"KLCI falls 0.37%, tracks region as U.S. decides more tariffs on China","KLCI falls 0.37%, tracks region as U.S. decides more tariffs on China",11/07/2018,Up
KLCI poised to extend gains cautiously as trade war fears wane,KLCI poised to extend gains cautiously as trade war fears wane,11/07/2018,Up
"Pestech, Multi Sports, MAHB, Kian Joo, Box-Pak and Top Glove","Pestech, Multi Sports, MAHB, Kian Joo, Box-Pak and Top Glove",10/07/2018,Down
Top Glove initiates arbitration against Adventa Capital in Singapore,Top Glove initiates arbitration against Adventa Capital in Singapore,10/07/2018,Down
Top Glove up after co said business remains resilient,Top Glove up after co said business remains resilient,10/07/2018,Down
"Top Glove to add 74 production lines, 7.4 billion gloves yearly","Top Glove to add 74 production lines, 7.4 billion gloves yearly",10/07/2018,Down
Top Glove up 4 sen at RM9.17 at 9:03am as legal proceeding concerns linger,Top Glove up 4 sen at RM9.17 at 9:03am as legal proceeding concerns linger,10/07/2018,Down
Top Glove loses RM3.8b market cap in a day,Top Glove loses RM3.8b market cap in a day,10/07/2018,Down
Top Glove upgraded to overweight at JPMorgan,Top Glove upgraded to overweight at JPMorgan,10/07/2018,Down
"Atlan Holdings, Rohas Tecnic, N2N Connect, Adventa, Top Glove, Versatile Creative, LPI Capital and Econpile","Atlan Holdings, Rohas Tecnic, N2N Connect, Adventa, Top Glove, Versatile Creative, LPI Capital and Econpile",09/07/2018,Up
Top Glove: Aspion's price tag overstated by RM640.5m,Top Glove: Aspion's price tag overstated by RM640.5m,09/07/2018,Up
Adventa postpones rights issue as Top Glove sues its MD,Adventa postpones rights issue as Top Glove sues its MD,09/07/2018,Up
KLCI recovers slightly on stronger regional performance,KLCI recovers slightly on stronger regional performance,09/07/2018,Up
"The Week Ahead: US-China spat, Trump dates, Bank Negara guidance","The Week Ahead: US-China spat, Trump dates, Bank Negara guidance",09/07/2018,Up
FBM KLCI higher as investors bargain hunt; Top Glove falls,FBM KLCI higher as investors bargain hunt; Top Glove falls,09/07/2018,Up
EVENING 5: S’pore still waiting for official word on HSR,EVENING 5: S’pore still waiting for official word on HSR,09/07/2018,Up
Top Glove hits limit down amid legal proceedings against Adventa Capital,Top Glove hits limit down amid legal proceedings against Adventa Capital,09/07/2018,Up
Top Glove downgraded to hold at Maybank,Top Glove downgraded to hold at Maybank,09/07/2018,Up
Malaysia lifts price threshold on Top Glove warrants,Malaysia lifts price threshold on Top Glove warrants,09/07/2018,Up
Luxchem plans to grow its export market,Luxchem plans to grow its export market,09/07/2018,Up
Top Glove down RM3.29 at RM8.81 at 9:07am after co said taken legal action against Adventa Capital,Top Glove down RM3.29 at RM8.81 at 9:07am after co said taken legal action against Adventa Capital,09/07/2018,Up
"MISC, Red Sena, Top Glove, KUB Malaysia, Ta Ann, Protasco and Versatile Creative","MISC, Red Sena, Top Glove, KUB Malaysia, Ta Ann, Protasco and Versatile Creative",06/07/2018,Down
"Top Glove initiates legal action against Aspion directors, Adventa Capital","Top Glove initiates legal action against Aspion directors, Adventa Capital",06/07/2018,Down
KLCI edges up as regional markets stay nervous,KLCI edges up as regional markets stay nervous,05/07/2018,Down
KLCI edges up as regional markets stage recovery,KLCI edges up as regional markets stage recovery,03/07/2018,Down
KLCI falls 0.47% in subdued start to 2H2018,KLCI falls 0.47% in subdued start to 2H2018,02/07/2018,Up
"KLCI briefly crosses 1,700 level on window-dressing activities","KLCI briefly crosses 1,700 level on window-dressing activities",29/06/2018,Down
"KLCI rises 1.38% on 1H18 window dressing, led by Tenaga","KLCI rises 1.38% on 1H18 window dressing, led by Tenaga",29/06/2018,Down
KLCI edges up as window dressing kicks in,KLCI edges up as window dressing kicks in,29/06/2018,Down
KLCI pares losses on feeble window-dressing activities,KLCI pares losses on feeble window-dressing activities,28/06/2018,Up
"Banking, aviation stocks remain favourites for foreign funds, says MIDF Research","Banking, aviation stocks remain favourites for foreign funds, says MIDF Research",28/06/2018,Up
"Insider Moves: YTL Corp Bhd, Ekovest Bhd, Gadang Holdings Bhd, MyEG Services Bhd, Ewein Bhd, Classic Scenic Bhd","Insider Moves: YTL Corp Bhd, Ekovest Bhd, Gadang Holdings Bhd, MyEG Services Bhd, Ewein Bhd, Classic Scenic Bhd",26/06/2018,Up
Top Glove’s share price charts a new high as robust 3Q earnings projected,Top Glove’s share price charts a new high as robust 3Q earnings projected,25/06/2018,Up
Top Glove kept at 'buy' as it rides on solid global demand growth,Top Glove kept at 'buy' as it rides on solid global demand growth,22/06/2018,Down
"KLCI extends decline, falls 0.65% in line with regional selldown","KLCI extends decline, falls 0.65% in line with regional selldown",22/06/2018,Down
Above-market earnings growth expected for glove sector,Above-market earnings growth expected for glove sector,20/06/2018,Up
"KLCI rises 0.68%, tracks gains at regional markets","KLCI rises 0.68%, tracks gains at regional markets",20/06/2018,Up
Top Glove downgraded to neutral at Macquarie,Top Glove downgraded to neutral at Macquarie,20/06/2018,Up
"Top Glove rises 2.65% on strong 3Q earnings, dividend","Top Glove rises 2.65% on strong 3Q earnings, dividend",20/06/2018,Up
"KLCI snaps losing streak, tracks rebound at regional markets","KLCI snaps losing streak, tracks rebound at regional markets",20/06/2018,Up
Record profit in the bag for Top Glove,Record profit in the bag for Top Glove,20/06/2018,Up
HLIB Research raises target price for Top Glove to RM10.81,HLIB Research raises target price for Top Glove to RM10.81,20/06/2018,Up
"KLCI could slip below 1,700-level as trade war fears escalate","KLCI could slip below 1,700-level as trade war fears escalate",20/06/2018,Up
"Top Glove gains on dividend, stronger 3Q profit","Top Glove gains on dividend, stronger 3Q profit",19/06/2018,Up
Top Glove up 16 sen at RM11.56 at 3:08pm after co said 3Q net profit up 51pct on year at RM118m,Top Glove up 16 sen at RM11.56 at 3:08pm after co said 3Q net profit up 51pct on year at RM118m,19/06/2018,Up
Top Glove 3Q net profit surges 51.4% on increased glove demand,Top Glove 3Q net profit surges 51.4% on increased glove demand,19/06/2018,Up
Top Glove says 3Q net profit up 51pct on year at RM118m,Top Glove says 3Q net profit up 51pct on year at RM118m,19/06/2018,Up
Top Glove upgraded to buy at Maybank,Top Glove upgraded to buy at Maybank,19/06/2018,Up
"KLCI pares loss, down 0.78% as sentiment stays tepid","KLCI pares loss, down 0.78% as sentiment stays tepid",18/06/2018,Down
TA Securities ups Supermax target price to RM4.30 from RM3.62,TA Securities ups Supermax target price to RM4.30 from RM3.62,14/06/2018,Up
Rubber glove counters rise as ringgit weakens,Rubber glove counters rise as ringgit weakens,14/06/2018,Up
Rubber glove counters rise on weakening ringgit,Rubber glove counters rise on weakening ringgit,13/06/2018,Down
"Supermax, Top Glove shares up as ringgit weakens to 3.9960 against US dollar","Supermax, Top Glove shares up as ringgit weakens to 3.9960 against US dollar",13/06/2018,Down
"KLCI pares loss, down 0.25% as select blue chips drag","KLCI pares loss, down 0.25% as select blue chips drag",13/06/2018,Down
"KLCI down 0.41%, select blue chips drag","KLCI down 0.41%, select blue chips drag",13/06/2018,Down
"FBM KLCI down 11.64 points, ringgit weakens to 3.9940 vs US dollar","FBM KLCI down 11.64 points, ringgit weakens to 3.9940 vs US dollar",12/06/2018,Up
"Top Glove down 7.1%, most in more than two years","Top Glove down 7.1%, most in more than two years",12/06/2018,Up
KLCI down 0.38% as regional markets turn choppy,KLCI down 0.38% as regional markets turn choppy,12/06/2018,Up
KLCI remains under pressure as select blue chips weigh,KLCI remains under pressure as select blue chips weigh,12/06/2018,Up
"FBM KLCI down at 11th hour, Asian shares up ahead of US-North Korea summit","FBM KLCI down at 11th hour, Asian shares up ahead of US-North Korea summit",11/06/2018,Down
Top Glove shares hit record high of RM11.48,Top Glove shares hit record high of RM11.48,11/06/2018,Down
Lead Story: Companies disappoint in 1Q2018 earnings season,Lead Story: Companies disappoint in 1Q2018 earnings season,11/06/2018,Down
"KLCI reverses loss, rises 0.54%","KLCI reverses loss, rises 0.54%",11/06/2018,Down
"KLCI pares loss, poised to claw into positive zone","KLCI pares loss, poised to claw into positive zone",11/06/2018,Down
"Astro, Straits Inter Logistics, Utusan Melayu, Kretam, Alcom, Johan, Hartalega, Axis REIT, TM, CCM Duopharma, Vsolar and PUC","Astro, Straits Inter Logistics, Utusan Melayu, Kretam, Alcom, Johan, Hartalega, Axis REIT, TM, CCM Duopharma, Vsolar and PUC",07/06/2018,Up
"KLCI moves higher, tracks regional gains","KLCI moves higher, tracks regional gains",07/06/2018,Up
Rubber glove sector likely to see slower demand,Rubber glove sector likely to see slower demand,06/06/2018,Up
"Top Glove hits record high at RM10.70, leads rubber glove buoyancy on FBM index entries","Top Glove hits record high at RM10.70, leads rubber glove buoyancy on FBM index entries",05/06/2018,Up
"KLCI rises 0.88%, stays above 1,750-level, banks lift","KLCI rises 0.88%, stays above 1,750-level, banks lift",01/06/2018,Up
"F&N, MyEG, Top Glove new entrants to MSCI Malaysia Index","F&N, MyEG, Top Glove new entrants to MSCI Malaysia Index",01/06/2018,Up
"KLCI up 0.59% as Public Bank, Maybank lift","KLCI up 0.59% as Public Bank, Maybank lift",01/06/2018,Up
"YTL, AMMB, Astro bumped out of FBM KLCI","YTL, AMMB, Astro bumped out of FBM KLCI",01/06/2018,Up
"IGB, Affin Bank, MRCB, Gamuda, Hartalega, MAHB, Dialog, YTL Corp, AmBank, Astro, PPB, Hap Seng, DRB-Hicom, MyEG, Parkson, Mah Sing and RHB","IGB, Affin Bank, MRCB, Gamuda, Hartalega, MAHB, Dialog, YTL Corp, AmBank, Astro, PPB, Hap Seng, DRB-Hicom, MyEG, Parkson, Mah Sing and RHB",31/05/2018,Up
"Hartalega, MAHB, Dialog added to FBM KLCI","Hartalega, MAHB, Dialog added to FBM KLCI",31/05/2018,Up
Stock With Momentum: Top Glove Corp Bhd,Stock With Momentum: Top Glove Corp Bhd,31/05/2018,Up
KLCI rebounds 1.5% in line with regional gains,KLCI rebounds 1.5% in line with regional gains,31/05/2018,Up
KLCI falls 2.6% to five-month low,KLCI falls 2.6% to five-month low,30/05/2018,Up
"KPS, LeeSK, Rapid, Top Glove, YTLREIT","KPS, LeeSK, Rapid, Top Glove, YTLREIT",30/05/2018,Up
"Najib must be held responsible for 1MDB corruption scandal, says finance minister","Najib must be held responsible for 1MDB corruption scandal, says finance minister",27/05/2018,#N/A
KLCI up 0.15% on mild bargain hunting activities,KLCI up 0.15% on mild bargain hunting activities,24/05/2018,Up
"No more delays on completion of rubber glove plants, says Kossan","No more delays on completion of rubber glove plants, says Kossan",22/05/2018,Down
Market cap of 12 companies overtake that of some KLCI component stocks,Market cap of 12 companies overtake that of some KLCI component stocks,21/05/2018,Up
Select blue chips lift KLCI by 0.26%,Select blue chips lift KLCI by 0.26%,17/05/2018,Up
"Hartalega rises after reporting profit growth, declaring dividend","Hartalega rises after reporting profit growth, declaring dividend",16/05/2018,Up
Top Glove hits record high of RM10.78,Top Glove hits record high of RM10.78,15/05/2018,Down
KLCI rises 0.38% as select blue chips lift,KLCI rises 0.38% as select blue chips lift,15/05/2018,Down
Top Glove up 38 sen at RM10.52 at 9:41am as ringgit weakens,Top Glove up 38 sen at RM10.52 at 9:41am as ringgit weakens,15/05/2018,Down
"KLCI edges up in early trade, gains seen capped","KLCI edges up in early trade, gains seen capped",15/05/2018,Down
Cover Story: Be prepared for when the dust settles,Cover Story: Be prepared for when the dust settles,07/05/2018,Up
KLCI falls 0.88% on pre-election jitters,KLCI falls 0.88% on pre-election jitters,07/05/2018,Up
KLCI opens 0.28% lower as investors stay cautious ahead of GE14,KLCI opens 0.28% lower as investors stay cautious ahead of GE14,07/05/2018,Up
"KLCI stays down, tracks regional markets","KLCI stays down, tracks regional markets",03/05/2018,Up
KLCI off to subdued start in line with softer regional markets,KLCI off to subdued start in line with softer regional markets,03/05/2018,Up
"Public Bank, Hartalega, Asdion, Petchem, IHH, Inta Bina, Harrisons, GDEX, YTL Corp, MRCB and Gamuda","Public Bank, Hartalega, Asdion, Petchem, IHH, Inta Bina, Harrisons, GDEX, YTL Corp, MRCB and Gamuda",02/05/2018,Up
"Hartalega allots RM14m to upgrade ERP system, catching up to Industry 4.0 revolution","Hartalega allots RM14m to upgrade ERP system, catching up to Industry 4.0 revolution",02/05/2018,Up
KLCI slumps 1.17% on weaker manufacturing data,KLCI slumps 1.17% on weaker manufacturing data,02/05/2018,Up
"KLCI reverses loss, gets lifted by Public Bank","KLCI reverses loss, gets lifted by Public Bank",30/04/2018,Up
"KLCI pares gains, stays up 0.37% tracking regional markets","KLCI pares gains, stays up 0.37% tracking regional markets",27/04/2018,Up
Rubber glove makers climb as investors turn to bargain hunting,Rubber glove makers climb as investors turn to bargain hunting,26/04/2018,Down
"KLCI pares gains, stays up 0.3% at break","KLCI pares gains, stays up 0.3% at break",26/04/2018,Down
"KLCI stages technical rebound, rises 0.54%","KLCI stages technical rebound, rises 0.54%",26/04/2018,Down
"KLCI rebounds 0.37% in early trade, tracks regional gains","KLCI rebounds 0.37% in early trade, tracks regional gains",26/04/2018,Down
"CIMB Research upgrades Supermax, raises target price to RM3.47","CIMB Research upgrades Supermax, raises target price to RM3.47",26/04/2018,Down
"KLCI gets off to sluggish start, extends loss in line with region","KLCI gets off to sluggish start, extends loss in line with region",25/04/2018,Up
FBM KLCI falls for third day as rising US yields could prompt fund outflow,FBM KLCI falls for third day as rising US yields could prompt fund outflow,24/04/2018,Down
"KLCI down 0.28% in line with region; small caps, tech stocks slide","KLCI down 0.28% in line with region; small caps, tech stocks slide",23/04/2018,Down
"Analysts neutral on Top Glove's bonus, bond issue","Analysts neutral on Top Glove's bonus, bond issue",23/04/2018,Down
KLCI reverses gains in line with muted region,KLCI reverses gains in line with muted region,23/04/2018,Down
"Maybank, Sinotop, UMW, Top Glove, Tek Seng, TNB, Daya Materials, Yinson and CIMB","Maybank, Sinotop, UMW, Top Glove, Tek Seng, TNB, Daya Materials, Yinson and CIMB",23/04/2018,Down
Top Glove rises 3.20% on bonus issue plan,Top Glove rises 3.20% on bonus issue plan,23/04/2018,Down
"KLCI edges marginally higher, select blue chips lift","KLCI edges marginally higher, select blue chips lift",23/04/2018,Down
"KLCI to trade range bound, stay above 1,870-level","KLCI to trade range bound, stay above 1,870-level",23/04/2018,Down
"Maybank, Sinotop, UMW, Top Glove, Tek Seng, TNB, Daya Materials, Yinson and CIMB","Maybank, Sinotop, UMW, Top Glove, Tek Seng, TNB, Daya Materials, Yinson and CIMB",20/04/2018,Up
Top Glove raised to outperform at Credit Suisse,Top Glove raised to outperform at Credit Suisse,20/04/2018,Up
"Top Glove proposes bonus issue, US$300m bond sale","Top Glove proposes bonus issue, US$300m bond sale",20/04/2018,Up
Top Glove proposes bonus issue involving up to 1.28b new shares,Top Glove proposes bonus issue involving up to 1.28b new shares,20/04/2018,Up
"KLCI pares gains, stays up 0.47% in line with region","KLCI pares gains, stays up 0.47% in line with region",19/04/2018,Down
Supermax continues climb for third day in a row,Supermax continues climb for third day in a row,18/04/2018,Up
"Analysts say put politics aside, focus on Supermax’s growth","Analysts say put politics aside, focus on Supermax’s growth",18/04/2018,Up
Supermax confirms Rafidah's resignation as chairman,Supermax confirms Rafidah's resignation as chairman,16/04/2018,Up
Supermax's Stanley Thai apologises to Najib for involvement in politics,Supermax's Stanley Thai apologises to Najib for involvement in politics,14/04/2018,#N/A
Flattish 1Q profit seen for Kossan,Flattish 1Q profit seen for Kossan,11/04/2018,Down
"KLCI rises 0.41%, tracks regional gains","KLCI rises 0.41%, tracks regional gains",11/04/2018,Down
KLCI edges higher in line with firmer regional markets,KLCI edges higher in line with firmer regional markets,11/04/2018,Down
Seeking shelter amid a US-China trade war,Seeking shelter amid a US-China trade war,10/04/2018,Up
"KLCI reverses earlier loss, rises 0.09%","KLCI reverses earlier loss, rises 0.09%",10/04/2018,Up
"TA Enterprise, Ni Hsin, Caely, Lion Diversified, Comfort Gloves, Suria Capital, Tafi Industries, Sanichi, G Neptune and Press Metal","TA Enterprise, Ni Hsin, Caely, Lion Diversified, Comfort Gloves, Suria Capital, Tafi Industries, Sanichi, G Neptune and Press Metal",06/04/2018,Down
Comfort Gloves says ops not disrupted by FDA action,Comfort Gloves says ops not disrupted by FDA action,06/04/2018,Down
US-China trade spat overshadows GE14 announcement,US-China trade spat overshadows GE14 announcement,06/04/2018,Down
Bad news for Comfort Gloves pushes competitors higher,Bad news for Comfort Gloves pushes competitors higher,06/04/2018,Down
KLCI falls 0.17% as Trump proposes additional tariffs against China,KLCI falls 0.17% as Trump proposes additional tariffs against China,06/04/2018,Down
"KLCI jumps 1.02% in line with region, tech index gains 3.99%","KLCI jumps 1.02% in line with region, tech index gains 3.99%",05/04/2018,Up
KLCI rises 1.07% in tandem with regional gains,KLCI rises 1.07% in tandem with regional gains,05/04/2018,Up
KLCI rises 0.74% in line with regional bounce,KLCI rises 0.74% in line with regional bounce,05/04/2018,Up
Top Glove up at record high as China-US spat hits broader market,Top Glove up at record high as China-US spat hits broader market,04/04/2018,Up
"KLCI stays in the red, technology index takes a beating","KLCI stays in the red, technology index takes a beating",04/04/2018,Up
"KLCI hovers below 1,850-point level, tracks regional losses","KLCI hovers below 1,850-point level, tracks regional losses",04/04/2018,Up
Top Glove acquires 85% stake in Duramedical,Top Glove acquires 85% stake in Duramedical,30/03/2018,Up
The Edge-Citigold Wealth Forum 2018: Focus on corporate earnings amid uncertainty,The Edge-Citigold Wealth Forum 2018: Focus on corporate earnings amid uncertainty,28/03/2018,Down
10 companies’ market cap overtakes FBM KLCI members’,10 companies’ market cap overtakes FBM KLCI members’,28/03/2018,Down
FBM KLCI up with Asian shares as trade war fears ease,FBM KLCI up with Asian shares as trade war fears ease,27/03/2018,Down
"KLCI pares gains, up 0.24% as region rallies","KLCI pares gains, up 0.24% as region rallies",27/03/2018,Down
KLCI rises 0.34% in line with regional rally,KLCI rises 0.34% in line with regional rally,27/03/2018,Down
KLCI pares loss but stays down 0.42% on regional jitters,KLCI pares loss but stays down 0.42% on regional jitters,26/03/2018,Up
Cover Story: Robust economy lifts corporate earnings,Cover Story: Robust economy lifts corporate earnings,22/03/2018,Down
Cover Story: Companies that piqued investor interest,Cover Story: Companies that piqued investor interest,22/03/2018,Down
